序号,用户名,链接,评分,评分标题,有用数,日期,评论
120,Sugar,https://www.douban.com/people/2850261/,allstar40 rating,推荐,0,2016-10-02,我不希望自己老了也会这么可笑又可怜。ps：营造出了法式浪漫的氛围
121,YeeLam,https://www.douban.com/people/marissatsui/,allstar40 rating,推荐,0,2018-12-17,我喜歡每一套衣服。
122,暗地妖娆,https://www.douban.com/people/1495292/,allstar50 rating,力荐,0,2016-06-08,多么可爱的结尾，让人充满不明智的希望。
123,☀edison™,https://www.douban.com/people/edison1112/,allstar30 rating,还行,0,2018-01-28,Life is interesting because of those silly things. Rationality makes you cold-blooded.
124,棵棵三分甜,https://www.douban.com/people/95592443/,allstar40 rating,推荐,1,2016-06-26,这并不是单纯一个老阿姨爱上小伙子的爱情故事，是自我救赎和成长。结局在不在一起不重要，向前看才是。其实还能挖得更深点。
125,鸠摩智,https://www.douban.com/people/52063887/,allstar50 rating,力荐,1,2016-11-09,不知道为什么，总是很喜欢这个节奏的电影，大概这类电影就是一个彩色的糖果盒，你也不知道下一颗倒在掌心的哪个颜色就对了你的胃口。多蕾丝对年轻的身体的觊觎，对衰老的自己的无奈，在一次又一次的争吵面前，既急不可待，又畏手畏脚。所有不愿服输的尝试，所有欲说还休的张望，都那么羞耻，又真实。
126,Daisy cat,https://www.douban.com/people/Dasiycat/,allstar40 rating,推荐,0,2016-06-27,被Doris的脑洞笑惨了，同时又觉得任何年龄段的女人大概都会有过这样的脑洞吧，而且不论处于什么样的人生阶段，成长是不停止的，总会从各种各样的经历中吸取教训或得到启发
127,Hancock,https://www.douban.com/people/7755053/,allstar40 rating,推荐,0,2016-10-18,老年版之mission I'm possible
128,奇小一,https://www.douban.com/people/150938101/,allstar30 rating,还行,0,2017-07-23,气氛营造得很好，都市气息很浓，乍一看还挺贴切生活的，Doris这个角色被写得很立体，她的不切实际更是为电影增加了不少的笑料，不过毕竟是电影，一切都不是那么真实，所以看完了还是觉得感触不深。
129,米袄喂喂,https://www.douban.com/people/Jennytakun/,allstar50 rating,力荐,0,2016-07-10,She's HOT!
130,sane lunatic,https://www.douban.com/people/52658283/,allstar20 rating,较差,0,2016-07-21,悲剧
131,黑眉下的绿眼睛,https://www.douban.com/people/2718689/,allstar30 rating,还行,0,2016-12-11,女主的人生只是晚一些开始。
132,karenlin,https://www.douban.com/people/48666472/,allstar40 rating,推荐,0,2016-05-05,爱是疯狂的，愿每段爱都能带给我们成长。Doris太可爱了，Sally Field演技炸裂功不可没！三段脑补太欢乐~
133,Cynthia,https://www.douban.com/people/cynthiachang/,allstar40 rating,推荐,1,2016-09-04,如果把人物设定换成一个周二小女生 这剧情就没那么有趣了 Doris的人物设定其实和任何一个单相思的小女生一模一样 她听他爱听的音乐 去他爱去的地方 没事想和他唠嗑 嫉妒他有新恋情 甚至假装自己失恋了发脾气 最后 爱情的成就似乎不是最重要的 而是经历一切以后更好的自己
134,獰貓色碾兔猻黑,https://www.douban.com/people/MoiNightingale/,allstar20 rating,较差,0,2016-11-12,老太太的造型還是挺可愛的，腦內小劇場玩得也是溜，看得我腦袋疼……如果這就叫少女心，這辦的事兒也太……尷尬了吧？別說六十歲，就算十六歲情商也不會低成這樣了吧……
135,张君宝,https://www.douban.com/people/wen_Schwartz/,allstar20 rating,较差,0,2016-07-11,阿甘他妈狠啃小鲜肉，硅谷巴基斯坦男终变弯，破产姐妹你说看看精神医生的是max吗？不管有多老，人人都是小公举。花里胡哨的屯物癖老女人为爱幻想，受挫后的奋起的大龄职场爱情幻想喜剧。
136,喳,https://www.douban.com/people/Orange_Rene/,allstar40 rating,推荐,0,2017-03-27,可爱
137,正义伙伴张大胆,https://www.douban.com/people/Tetsuling/,allstar50 rating,力荐,0,2017-12-14,奇异地击中了我。Doris年轻的时候比电影里的所有年轻女演员加起来都要美，音乐有点忧伤，有点cliché，恰到好处
